name_project;sha1;entity_before_full_name;entity_before_simple_name;entity_before_location;entity_after_full_name;entity_after_simple_name;entity_after_location;refactoring_level;refactoring_name;sha1;author_name;author_email;author_date;author_date_unix_timestamp
facebook/fresco;8f302c6549de727a7aace1063db5b9cef2ff07d8;imagepipeline.src.main.com.facebook.imagepipeline.multiuri.MultiUri#setMultiImageRequests(ImageRequest[]);setMultiImageRequests(ImageRequest[]);imagepipeline/src/main/java/com/facebook/imagepipeline/multiuri/MultiUri.java:2212:2369:2296:2368;imagepipeline.src.main.com.facebook.imagepipeline.multiuri.MultiUri#setImageRequests(ImageRequest[]);setImageRequests(ImageRequest[]);imagepipeline/src/main/java/com/facebook/imagepipeline/multiuri/MultiUri.java:2212:2364:2291:2363;MethodDeclaration;RENAME;8f302c6549de727a7aace1063db5b9cef2ff07d8;ae491c2fe9d040de48acbb5a99e1ad47;d9a6dbb0d7307504e6afe330decde927;Wed Oct 9 12:43:41 2019 -0700;1570650221
facebook/fresco;7c3f0d3aa8903fd32a9cd51bac5ec71c18534f8b;drawee-backends.drawee-pipeline.src.main.com.facebook.drawee.backends.pipeline.info.ImagePerfState#reset();reset();drawee-backends/drawee-pipeline/src/main/java/com/facebook/drawee/backends/pipeline/info/ImagePerfState.java:1767:2484:1788:2483;drawee-backends.drawee-pipeline.src.main.com.facebook.drawee.backends.pipeline.info.ImagePerfState#resetPointsTimestamps();resetPointsTimestamps();drawee-backends/drawee-pipeline/src/main/java/com/facebook/drawee/backends/pipeline/info/ImagePerfState.java:2212:2662:2352:2661;MethodDeclaration;EXTRACT;7c3f0d3aa8903fd32a9cd51bac5ec71c18534f8b;ae491c2fe9d040de48acbb5a99e1ad47;d9a6dbb0d7307504e6afe330decde927;Tue Oct 8 07:21:14 2019 -0700;1570544474
facebook/fresco;1884d61893582ce410584a09e012fe345771b706;imagepipeline-base.src.main.com.facebook.imageformat.ImageFormatCheckerUtils#startsWithPattern(byte[],byte[]);startsWithPattern(byte[],byte[]);imagepipeline-base/src/main/java/com/facebook/imageformat/ImageFormatCheckerUtils.java:909:1578:1277:1577;imagepipeline-base.src.main.com.facebook.imageformat.ImageFormatCheckerUtils#hasPatternAt(byte[],byte[],int);hasPatternAt(byte[],byte[],int);imagepipeline-base/src/main/java/com/facebook/imageformat/ImageFormatCheckerUtils.java:1333:2027:1708:2026;MethodDeclaration;EXTRACT;1884d61893582ce410584a09e012fe345771b706;18a1164799da4cb47d50e467065bab66;6d80f310f698c5124642180e7ed3ed2b;Tue Sep 24 08:52:29 2019 -0700;1569340349
facebook/fresco;27eb7f3c220d41f5928840e3ca791a9db48c037e;vito.core.src.main.com.facebook.fresco.vito.core.FrescoContext#createImageRequestBuilder(Uri,ImageOptions);createImageRequestBuilder(Uri,ImageOptions);vito/core/src/main/java/com/facebook/fresco/vito/core/FrescoContext.java:4346:6540:4504:6539;vito.core.src.main.com.facebook.fresco.vito.core.FrescoContext#createDecodedImageRequestBuilder(Uri,DecodedImageOptions);createDecodedImageRequestBuilder(Uri,DecodedImageOptions);vito/core/src/main/java/com/facebook/fresco/vito/core/FrescoContext.java:4897:7002:5033:7001;MethodDeclaration;RENAME;27eb7f3c220d41f5928840e3ca791a9db48c037e;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Sat Sep 21 04:50:27 2019 -0700;1569066627
facebook/fresco;27eb7f3c220d41f5928840e3ca791a9db48c037e;vito.core.src.main.com.facebook.fresco.vito.core.FrescoContext#createImageRequestBuilder(Uri,ImageOptions);createImageRequestBuilder(Uri,ImageOptions);vito/core/src/main/java/com/facebook/fresco/vito/core/FrescoContext.java:4346:6540:4504:6539;vito.core.src.main.com.facebook.fresco.vito.core.FrescoContext#createEncodedImageRequestBuilder(Uri,EncodedImageOptions);createEncodedImageRequestBuilder(Uri,EncodedImageOptions);vito/core/src/main/java/com/facebook/fresco/vito/core/FrescoContext.java:7006:7308:7142:7307;MethodDeclaration;EXTRACT;27eb7f3c220d41f5928840e3ca791a9db48c037e;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Sat Sep 21 04:50:27 2019 -0700;1569066627
facebook/fresco;dc32d2b28f0bafff4a603011a42e45f6470e2f94;imagepipeline.src.main.com.facebook.imagepipeline.producers.ThreadHandoffProducerQueue#execInQueue();execInQueue();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/ThreadHandoffProducerQueue.java:1045:1195:1073:1194;imagepipeline.src.main.com.facebook.imagepipeline.producers.ThreadHandoffProducerQueueImpl#execInQueue();execInQueue();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/ThreadHandoffProducerQueueImpl.java:1127:1277:1155:1276;MethodDeclaration;PUSH_DOWN;dc32d2b28f0bafff4a603011a42e45f6470e2f94;ae491c2fe9d040de48acbb5a99e1ad47;d9a6dbb0d7307504e6afe330decde927;Sun Aug 18 16:41:13 2019 -0700;1566171673
facebook/fresco;017c007b48ed4eabb4c7e63be02bfc22e0a149ee;imagepipeline.src.main.com.facebook.imagepipeline.core.ImagePipeline#fetchDecodedImage(ImageRequest,Object,ImageRequest.RequestLevel,RequestListener);fetchDecodedImage(ImageRequest,Object,ImageRequest.RequestLevel,RequestListener);imagepipeline/src/main/java/com/facebook/imagepipeline/core/ImagePipeline.java:10997:12301:11845:12300;imagepipeline.src.main.com.facebook.imagepipeline.core.ImagePipeline#fetchDecodedImage(ImageRequest,Object,ImageRequest.RequestLevel,RequestListener,String);fetchDecodedImage(ImageRequest,Object,ImageRequest.RequestLevel,RequestListener,String);imagepipeline/src/main/java/com/facebook/imagepipeline/core/ImagePipeline.java:13405:14852:14371:14851;MethodDeclaration;EXTRACT;017c007b48ed4eabb4c7e63be02bfc22e0a149ee;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Sat Aug 17 09:47:33 2019 -0700;1566060453
facebook/fresco;eab75456a5b05e4b99c7f2c42695dec671926d65;imagepipeline.src.main.com.facebook.imagepipeline.producers.BaseProducerContext#getListener();getListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/BaseProducerContext.java:2092:2207:2143:2206;imagepipeline.src.main.com.facebook.imagepipeline.producers.BaseProducerContext#getProducerListener();getProducerListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/BaseProducerContext.java:2034:2128:2094:2127;MethodDeclaration;RENAME;eab75456a5b05e4b99c7f2c42695dec671926d65;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Fri Aug 16 13:47:16 2019 -0700;1565988436
facebook/fresco;eab75456a5b05e4b99c7f2c42695dec671926d65;imagepipeline.src.main.com.facebook.imagepipeline.producers.ProducerContext#getListener();getListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/ProducerContext.java:1137:1232:1232:1232;imagepipeline.src.main.com.facebook.imagepipeline.producers.ProducerContext#getProducerListener();getProducerListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/ProducerContext.java:1137:1242:1242:1242;MethodDeclaration;RENAME;eab75456a5b05e4b99c7f2c42695dec671926d65;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Fri Aug 16 13:47:16 2019 -0700;1565988436
facebook/fresco;d5d1807b0a260839c01c1c51faf460832b6b69f1;imagepipeline.src.main.com.facebook.imagepipeline.producers.BaseProducerContext#getListener();getListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/BaseProducerContext.java:2032:2117:2083:2116;imagepipeline.src.main.com.facebook.imagepipeline.producers.InternalProducerListener#getProducerListener();getProducerListener();imagepipeline/src/main/java/com/facebook/imagepipeline/producers/InternalProducerListener.java:698:779:745:778;MethodDeclaration;EXTRACT_MOVE;d5d1807b0a260839c01c1c51faf460832b6b69f1;a56344758df77b0e9c714a0b874036b3;2caf0ffe1a37be96b967aa0cca3f3e92;Fri Aug 16 09:50:15 2019 -0700;1565974215
